,tweet,Subjectivity,Polarity,Analysis,label
0,  not that it will matter to you no zamato swiggy ola or amazon or flipkart Agra is cut off from the world and mind u in peak tourist season what a wonderful message will tourist take home on the govt of    ,1,1,Positive,1
1,Happy church day ⛪⛪  Marriott Hotel Downtown Abu Dhabi  httpstcoOVDosxpg,1,0.8,Positive,1
2,Over  drivers in London register on Ola Great job   httpstcocGJQUutve,0.75,0.8,Positive,1
3,  It would be great if you chain me in this appreciation,0.75,0.8,Positive,1
4, Just wait Sir will sooner you face a welcome fire after shouting  hu ,0.9,0.8,Positive,1
5,Thank You    pleasant  httpstcooRJvhlu,0.966666667,0.733333333,Positive,1
6, Ola rental is good,0.6,0.7,Positive,1
7,Now we have surge in  also we have been blaming   n cab aggregator but now it’s on Food delivery also good going    httpstcoCFUEWdIPg,0.6,0.7,Positive,1
8,    Good advice 😂,0.6,0.7,Positive,1
9,To be honest never ever could successfully book  in morning hours Heard  these days doing well  Time to unistall Ola,0.925,0.675,Positive,1
10, Lol Okay ,0.6,0.65,Positive,1
11,  kindly look into this Paid on google pay yet paid in cash too  httpstcoJRnZbpY,0.9,0.6,Positive,1
12,  I want to register a case against ola for not refunding my money Kindly let me the process,0.9,0.6,Positive,1
13,   Team I have DM my query kindly check Thank you,0.9,0.6,Positive,1
14,Amount debited from account after  ride Cash also paid to driver after ride Kindly help with this ,0.9,0.6,Positive,1
15,Dear   I am again fined with cancellation charge of Rs for no fault of mine This cancellation was made because Drivers  Phone was Switched Off and he couldnt be contacted Kindly look into the matter My Booking ID is   httpstcovroRMzNaX,0.9,0.6,Positive,1
16,    I dont want this automated revert kindly call speak with me and resolve the issue  ,0.9,0.6,Positive,1
17, sir I always prefer Ola uber services but today I want to travel by   Great experience cost effective Thanks  httpstcoBGLmuIwtiC,0.583333333,0.533333333,Positive,1
18, I am sure you can go and check my latest ride for ref ID but I dont want you to go and cut additional incentives of your drivers  Its not a one time thing it happens with each one of your drivers What is it that you do so they dont want us to pay via ola money,0.894444444,0.5,Positive,1
19,Beware of  rules If their driver partner makes you wait for mins and declines to give you a ride its ur fate Ola wont match fares or rebook Your time is not valuable If you make their wait they will charge Thier time is precious ,1,0.5,Positive,1
20,   Ola hu uber Ok,0.5,0.5,Positive,1
21,  Okay,0.5,0.5,Positive,1
22,     Simply we should uninstall these appn  Choose best bus or blackYellow taxi ricks ,0.328571429,0.5,Positive,1
23,     httpstcomFWYWRUBMe  Girl misbehaved by ola driver How safe is ola and uber cabs  And who is suppose to ensure       httpstcotDDzKxqkF,0.5,0.5,Positive,1
24,   Life was better with no  and  around,0.5,0.5,Positive,1
25,  httpstcomFWYWRUBMe  Girl misbehaved by ola driver How safe is ola and uber cabs  And who is suppose to ensure       httpstcogUFCOLQk,0.5,0.5,Positive,1
26, I dont know how to elaborate surge pricing A trip that would cost anywhere between  youre charging almost ,1,0.5,Positive,1
27, If you ask most of the protestor the meaning of CAB  I think they answer OLA n UBER,0.5,0.5,Positive,1
28,  more rejected olamoney today morning ride 😂,0.5,0.5,Positive,1
29, How many Ola Uber were there in the two posts that were destroyed by our Jawans,0.5,0.5,Positive,1
30, You think I’d be tweeting if it had not been that many days since this matter took place,0.5,0.5,Positive,1
31, So many time your driver not accept ola money and Demand for cash and then they cancel your ride its done  or times and then your account block  And wasting too much time also  I think ola need to improve them self otherwise  Have good Chance to takeover that,0.433333333,0.466666667,Positive,1
32,In solidarity with their driver partners Ola making sure that you wait before they cancel on you  ‘No Support Available’,0.644444444,0.45,Positive,1
33,Requesting  to act against App based CAB cancellations Becoming a nightmare   ,0.85,0.45,Positive,1
34,     Goverment should immediately implement it Both cabs have becoming pain for passengers,0.85,0.45,Positive,1
35, just got a call from your agent who kept on abusing for my bill when I kept saying I have paid it he threatened me to be sending me legal notice and getting me arrested wow thats just great Thats a good way to treat a customer,0.6375,0.45,Positive,1
36, Thanks a Lot And Pleasnt Day ahead Mine was not so good at these moment 😜🤟,0.4,0.45,Positive,1
37, Easy tigress ❤️,0.833333333,0.433333333,Positive,1
38,  I agree Which is why I will be more than happy of Govt actually interferes with how OlaUber function We keep saying market is supreme but here the market has gone rogue,0.533333333,0.433333333,Positive,1
39,In  I am going to try to    Learn to try and be mentally happy   Learn to time manage   Get back into the habit of Reading   Train gt Rick Ola Uber   Not 👏🏽 Entertaining 👏🏽 Bullshit 👏🏽 From 👏🏽 Anyone,0.566666667,0.433333333,Positive,1
40,Maanja  thengaapatha mayana salai  ola share ride  real fruit kulfi  torrento chemo care  sliding  turtles walk   inji tea with added dignity dignified kiss  ammu  letter convo shopping  Loved with full of hearts 🤩🥰   ,0.55,0.416666667,Positive,1
41,Ola Uber driver refused ride Policy proposes Rs  fine  Delhi News  Times of India  httpstcomTjXsOl,0.5,0.416666667,Positive,1
42,   U complent ola or uber he charged the  rs fine sir,0.5,0.416666667,Positive,1
43,Congratulations  for winner in top   Ola Electric has an ambitious target in mind to deploy a million electric vehicles EV by  with around  of them by end itself  Read more at  httpstcotvTolJFD,0.583333333,0.416666667,Positive,1
44,Hi   Mr Sujit Prasad your brilliant driver is super helpful  The maps mentioned a faster route but still he insisted to stay on a slower route and began to fight  I think having a driver network like this will only bring you a downfall     httpstcoiOWUnvKM,0.888888889,0.411111111,Positive,1
45,   Just posted the relevant slides on the topic His talk was on the Ola cards,0.9,0.4,Positive,1
46,I opted for the ola moneycard while booking the cab till my home Driver demands for the cash Terminates the trip stopped  vehicle on the road just that I dont pay via cash I had to book another cab despite Im paying the trip amount No customer service available   httpstcoDyelDjRjgd,0.4,0.4,Positive,1
47,We have   almost in every  city still someone is not getting a   then  is genuine                      httpstcooHcNSgPiG,0.5,0.4,Positive,1
48, No FUCKING auto is accepting my ride and there are so many around here just loitering around,0.65,0.4,Positive,1
49,It was great to experience improved operation in Hyderabad   starting from cab availability to professional drivers Keep up the good work,0.3875,0.4,Positive,1
50, driver was very aerogent and abusive Like threatening me Remove this kind of drivers  httpstcoXQQaRZGVUf,0.6,0.4,Positive,1
51,Im nd Raid in   Im happy Riding in an Ola  driven by Honnakeshava  is needed to start the ride after boarding the cab Final bill amount will be shown on driver device Track the ride here  httpstcovyGVRRnw,1,0.4,Positive,1
52,Stayed in Pune daysUsed ola  polished my shoesbought streetside fruits ate pan at taparismedicines at chemist shop amp paid thru      all  available at all places     amp Pune has learnt it ,0.4,0.4,Positive,1
53,If you want Traffic Free city then start using Public Transport Railways Metro BEST are safe cheap on time and always there for you in difficult situations Say Yes to Metro Railway BEST Say No to OLAUBER      ,0.523809524,0.4,Positive,1
54,   Ola amp Uber have surges always ask for cash which isn’t how Meru operates It does on a fixed fare which often is a premium fare So I feel it ticks all the boxes in your checklist apart from the fact if they can work on their spontaneous bookings it’ll be way more scalable,0.533333333,0.4,Positive,1
55, Hi I bought a  hospicash policy on ur app on th Dec Its been  days amp I still hvnt recvd any mailpolicy docs frm ur side Customer care amp helpline is nt working Wts dis a new kind of scam  ,0.677272727,0.368181818,Positive,1
56,Unlocked a special feature when bought an ola pass    httpstcoUFoapXbrj,0.571428571,0.357142857,Positive,1
57,  Ola amigos🦄  Hope you guys are enjoying the holidaysSo I am here to give you something which you make your New Year even more special  How about winning a new book at the First…  httpstcoPRqsjce,0.55508658,0.354978355,Positive,1
58,Vch cab Ola or Uber   She thought of becoming popular by correcting our pm 😂  Bill turns to act after assent of president Go back to school  ,0.583333333,0.35,Positive,1
59,Ola pls stop or olamoney because i facing many problems with after book bike or cab with olamoney or postpaid driver denied to do the service they straight forward said if you made payments options olamoney or postpaid will not to go ,0.45,0.35,Positive,1
60, sir mm good evening I am uma Shankar Singh n my mobile number is  and second is  Which use to book Ola But you can check my booking two or three times Ola driver cancel my booking and charge come on penalty on my mobile number It is not my fault,0.3,0.35,Positive,1
61,   by when a customer can fully rely upon  as after complaining within Ola app drivers are showing such behavior and if service cant be offered then isnt it a good idea to close business in the city,0.55,0.35,Positive,1
62,  Here you go  I need full refund for my trip  httpstcoWiGPrJDBO,0.55,0.35,Positive,1
63,  Its better to use Ola  take a Ola Select subscription and avoid such mental torture No cancellation fee  priority drive and best drivers,0.375,0.35,Positive,1
64,  this is the number of ur driver    He did not use the app and is now asking for the full amount on return journey,0.55,0.35,Positive,1
65,Ola  how you doing ♥️ hope you’re having a lovely afternoonare you ready for the weekend😉coz I am The best  songs are  Bad guy  Señorita  Good for you by   hehe ♥️ could you dedicate any of those songs to  ♥️much love🤗,0.563333333,0.34,Positive,1
66,  Hello  Of   by the name of     Where is my money   You gave super flop statements about giving ride voucher but we receive nothing      Till Date ,0.666666667,0.333333333,Positive,1
67,  A Agent named  was really helpful and helped me out in these situation You really need some people like him Have a Pleasant day Ahead  Please annotate him my thanks as you can check calls regarding this booking  httpstcoirDnYBEM,0.391666667,0.333333333,Positive,1
68, For CRN why didnt the driver accept  I was highly inconvenienced as Id just landed in the city and wasnt having cash to pay Id to opt Postpaid to pay whereas there was offer ongoing in GPay of  off for rides amounting to  or more,0.52,0.33,Positive,1
69, I would rather save the money and gift myself a two wheeler instead Wouldnt cost gt Rs on fuel per day up and down Lol,0.494444444,0.322222222,Positive,1
70, Sir many wouldnt even be knowing about this all new CAB except Ola or Uber,0.477272727,0.318181818,Positive,1
71,Service standards  Ola even refused to acknowledge the issue Need better media management for sure Not accepting an issue wont work for long,0.596296296,0.316666667,Positive,1
72,    it is amusing that yesterday i received an email stating that my kyc for ola money is pending and I have to take action  Amusing because it is i who is asking olamoney why my kyc is not complete even after almost a month of homevisit,0.625,0.3125,Positive,1
73, That doesnt answer my query You are asking for a higher fare predicting a surge What if the surge never happens You would still end up charging us more right Is that even legal,0.433928571,0.308928571,Positive,1
