,tweet,Subjectivity,Polarity,Analysis
0,  not that it will matter to you no zamato swiggy ola or amazon or flipkart Agra is cut off from the world and mind u in peak tourist season what a wonderful message will tourist take home on the govt of    ,1.0,1.0,Positive
1,Happy church day ⛪⛪  Marriott Hotel Downtown Abu Dhabi  httpstcoOVDosxpg,1.0,0.8,Positive
2,Over  drivers in London register on Ola Great job   httpstcocGJQUutve,0.75,0.8,Positive
3,  It would be great if you chain me in this appreciation,0.75,0.8,Positive
4, Just wait Sir will sooner you face a welcome fire after shouting  hu ,0.9,0.8,Positive
5,Thank You    pleasant  httpstcooRJvhlu,0.9666666666666667,0.7333333333333333,Positive
6, Ola rental is good,0.6000000000000001,0.7,Positive
7,Now we have surge in  also we have been blaming   n cab aggregator but now it’s on Food delivery also good going    httpstcoCFUEWdIPg,0.6000000000000001,0.7,Positive
8,    Good advice 😂,0.6000000000000001,0.7,Positive
9,To be honest never ever could successfully book  in morning hours Heard  these days doing well  Time to unistall Ola,0.925,0.675,Positive
10, Lol Okay ,0.6,0.65,Positive
11,  kindly look into this Paid on google pay yet paid in cash too  httpstcoJRnZbpY,0.9,0.6,Positive
12,  I want to register a case against ola for not refunding my money Kindly let me the process,0.9,0.6,Positive
13,   Team I have DM my query kindly check Thank you,0.9,0.6,Positive
14,Amount debited from account after  ride Cash also paid to driver after ride Kindly help with this ,0.9,0.6,Positive
15,Dear   I am again fined with cancellation charge of Rs for no fault of mine This cancellation was made because Drivers  Phone was Switched Off and he couldnt be contacted Kindly look into the matter My Booking ID is   httpstcovroRMzNaX,0.9,0.6,Positive
16,    I dont want this automated revert kindly call speak with me and resolve the issue  ,0.9,0.6,Positive
17, sir I always prefer Ola uber services but today I want to travel by   Great experience cost effective Thanks  httpstcoBGLmuIwtiC,0.5833333333333334,0.5333333333333333,Positive
18, I am sure you can go and check my latest ride for ref ID but I dont want you to go and cut additional incentives of your drivers  Its not a one time thing it happens with each one of your drivers What is it that you do so they dont want us to pay via ola money,0.8944444444444444,0.5,Positive
19,Beware of  rules If their driver partner makes you wait for mins and declines to give you a ride its ur fate Ola wont match fares or rebook Your time is not valuable If you make their wait they will charge Thier time is precious ,1.0,0.5,Positive
20,   Ola hu uber Ok,0.5,0.5,Positive
21,  Okay,0.5,0.5,Positive
22,     Simply we should uninstall these appn  Choose best bus or blackYellow taxi ricks ,0.32857142857142857,0.5,Positive
23,     httpstcomFWYWRUBMe  Girl misbehaved by ola driver How safe is ola and uber cabs  And who is suppose to ensure       httpstcotDDzKxqkF,0.5,0.5,Positive
24,   Life was better with no  and  around,0.5,0.5,Positive
25,  httpstcomFWYWRUBMe  Girl misbehaved by ola driver How safe is ola and uber cabs  And who is suppose to ensure       httpstcogUFCOLQk,0.5,0.5,Positive
26, I dont know how to elaborate surge pricing A trip that would cost anywhere between  youre charging almost ,1.0,0.5,Positive
27, If you ask most of the protestor the meaning of CAB  I think they answer OLA n UBER,0.5,0.5,Positive
28,  more rejected olamoney today morning ride 😂,0.5,0.5,Positive
29, How many Ola Uber were there in the two posts that were destroyed by our Jawans,0.5,0.5,Positive
30, You think I’d be tweeting if it had not been that many days since this matter took place,0.5,0.5,Positive
31, So many time your driver not accept ola money and Demand for cash and then they cancel your ride its done  or times and then your account block  And wasting too much time also  I think ola need to improve them self otherwise  Have good Chance to takeover that,0.43333333333333335,0.4666666666666666,Positive
32,In solidarity with their driver partners Ola making sure that you wait before they cancel on you  ‘No Support Available’,0.6444444444444444,0.45,Positive
33,Requesting  to act against App based CAB cancellations Becoming a nightmare   ,0.8500000000000001,0.45,Positive
34,     Goverment should immediately implement it Both cabs have becoming pain for passengers,0.8500000000000001,0.45,Positive
35, just got a call from your agent who kept on abusing for my bill when I kept saying I have paid it he threatened me to be sending me legal notice and getting me arrested wow thats just great Thats a good way to treat a customer,0.6375,0.45,Positive
36, Thanks a Lot And Pleasnt Day ahead Mine was not so good at these moment 😜🤟,0.4,0.44999999999999996,Positive
37, Easy tigress ❤️,0.8333333333333334,0.43333333333333335,Positive
38,  I agree Which is why I will be more than happy of Govt actually interferes with how OlaUber function We keep saying market is supreme but here the market has gone rogue,0.5333333333333333,0.43333333333333335,Positive
39,In  I am going to try to    Learn to try and be mentally happy   Learn to time manage   Get back into the habit of Reading   Train gt Rick Ola Uber   Not 👏🏽 Entertaining 👏🏽 Bullshit 👏🏽 From 👏🏽 Anyone,0.5666666666666667,0.43333333333333335,Positive
40,Maanja  thengaapatha mayana salai  ola share ride  real fruit kulfi  torrento chemo care  sliding  turtles walk   inji tea with added dignity dignified kiss  ammu  letter convo shopping  Loved with full of hearts 🤩🥰   ,0.55,0.4166666666666667,Positive
41,Ola Uber driver refused ride Policy proposes Rs  fine  Delhi News  Times of India  httpstcomTjXsOl,0.5,0.4166666666666667,Positive
42,   U complent ola or uber he charged the  rs fine sir,0.5,0.4166666666666667,Positive
43,Congratulations  for winner in top   Ola Electric has an ambitious target in mind to deploy a million electric vehicles EV by  with around  of them by end itself  Read more at  httpstcotvTolJFD,0.5833333333333334,0.4166666666666667,Positive
44,Hi   Mr Sujit Prasad your brilliant driver is super helpful  The maps mentioned a faster route but still he insisted to stay on a slower route and began to fight  I think having a driver network like this will only bring you a downfall     httpstcoiOWUnvKM,0.8888888888888888,0.41111111111111115,Positive
45,   Just posted the relevant slides on the topic His talk was on the Ola cards,0.9,0.4,Positive
46,I opted for the ola moneycard while booking the cab till my home Driver demands for the cash Terminates the trip stopped  vehicle on the road just that I dont pay via cash I had to book another cab despite Im paying the trip amount No customer service available   httpstcoDyelDjRjgd,0.4,0.4,Positive
47,We have   almost in every  city still someone is not getting a   then  is genuine                      httpstcooHcNSgPiG,0.5,0.4,Positive
48, No FUCKING auto is accepting my ride and there are so many around here just loitering around,0.65,0.4,Positive
49,It was great to experience improved operation in Hyderabad   starting from cab availability to professional drivers Keep up the good work,0.3875,0.4,Positive
50, driver was very aerogent and abusive Like threatening me Remove this kind of drivers  httpstcoXQQaRZGVUf,0.6,0.4,Positive
51,Im nd Raid in   Im happy Riding in an Ola  driven by Honnakeshava  is needed to start the ride after boarding the cab Final bill amount will be shown on driver device Track the ride here  httpstcovyGVRRnw,1.0,0.4,Positive
